"2020 Census Housing Unit Counts of 
Guam: Census Designated Place (CDP)",,,,
,,,,
Geographic Area,Total Housing Units,,,
Guam,"51,555",,,
,,,,
Adacao CDP,"1,214",,,
Afame CDP,275,,,
Agana Heights CDP,"1,210",,,
Agat CDP,"1,149",,,
Anao CDP,678,,,
Andersen Air Force Base CDP,670,,,
Apotgan CDP,"2,443",,,
Apra Harbor CDP,809,,,
Asan CDP,270,,,
Astumbo CDP,"1,056",,,
Barrigada CDP,"1,144",,,
Barrigada Heights CDP,727,,,
Chaguian CDP,840,,,
Chalan Pago CDP,"1,138",,,
Dededo CDP,"2,157",,,
Finegayan Station CDP,0,,,
Hagåtña CDP,407,,,
Harmon Industrial Park CDP,363,,,
Inarajan CDP,235,,,
Ipan CDP,371,,,
Liguan CDP,"1,694",,,
Machananao East CDP,947,,,
Machananao West CDP,825,,,
Machanao CDP,"1,729",,,
Macheche CDP,"1,223",,,
Maina CDP,257,,,
Maite CDP,303,,,
Malojloj CDP,289,,,
Mangilao CDP,"1,785",,,
Mataguac CDP,"1,578",,,
Merizo CDP,451,,,
Mogfog CDP,"1,047",,,
Mongmong CDP,"1,173",,,
Naval Hospital CDP,0,,,
Nimitz Hill CDP,328,,,
Nimitz Hill Annex CDP,59,,,
North Gayinero CDP,"1,372",,,
Oka CDP,893,,,
Ordot CDP,991,,,
Pagat CDP,423,,,
Piti CDP,206,,,
Santa Rita CDP,279,,,
Sinajana CDP,554,,,
South Gayinero CDP,"1,222",,,
Talofofo CDP,574,,,
Tamuning CDP,"1,855",,,
Toto CDP,724,,,
Tumon CDP,"1,305",,,
Ukudu CDP,222,,,
Umatac CDP,128,,,
University of Guam CDP,"1,232",,,
Upper Tumon CDP,"1,827",,,
Windward Hills CDP,646,,,
Wusstig CDP,790,,,
Yona CDP,859,,,
Y Papao CDP,"1,673",,,
Y Sengsong CDP,287,,,
,,,,
"There were 2,649 housing units in Guam not within a CDP.
Source: U.S. Census Bureau, 2020 Census of Guam.
DRB Clearance CBDRB-FY22-009",,,,
,,,,
