agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	16s
USGS	131404144383975	Cocos Island Rain Gage, Guam	AT	13.2431111	144.6465833	S	NAD83	 10	 10	LMSL	22010000
USGS	131618144445066	Inarajan Rain Gage, Guam	AT	13.27310833	144.7496389	S	NAD83	 0	  5	LMSL	22010000
USGS	131637144450066	Inarajan Agriculture Station, Guam	AT	13.2783861	144.7524167	S	NAD83				22010000
USGS	131700144440666	Fintasa River, Guam	ST	13.28477222	144.7374167	S	NAD83				22010000
USGS	131729144393766	Umatac Rain Gage at Umatac, Guam	AT	13.29177778	144.6621944	5	NAD83	 180	 10	LMSL	22010000
USGS	131729144393767	Umatac Fire Station - NWS, Guam	AT	13.29282778	144.6626944	S	NAD83				22010000
USGS	131743144393966	Umatac Village - USGS, Guam	AT	13.29671667	144.66325	S	NAD83				22010000
USGS	131743144401366	Umatac Valley (USGS), Guam	AT	13.29671667	144.6726944	S	NAD83				22010000
USGS	131753144393766	Umatac Village (PIE), Guam	AT	13.29949444	144.6626944	S	NAD83				22010000
USGS	131809144451666	Malojloj, Guam	AT	13.30393889	144.756861	S	NAD83				22010000
USGS	131815144452401	Malojloj Well 2, Malojloj, Guam	GW	13.30409444	144.7567778	5	NAD83	 253	 20	LMSL	22010000
USGS	131831144440466	Inarajan - NASA, Guam	AT	13.31005	144.736861	S	NAD83				22010000
USGS	131847144451401	Dandan Test Well, Malojiloj, Guam	GW	13.3131111	144.7537917	5	NAD83	 314	 20	LMSL	22010000
USGS	131921144401301	Mt. Jumullong Manglo Rain Gage, Guam	AT	13.32393889	144.6726944	S	NAD83	 730	 10	LMSL	22010000
USGS	132000144415001	Fena Reservoir blw Imong nr Agat, Guam	LK	13.33476944	144.6996389	U	NAD83				22010000
USGS	132017144415566	Imong River, Guam	ST	13.33949167	144.7010278	S	NAD83				22010000
